Timestamp,1. I think that I would like to use this system frequently,2. I found the system unnecessarily complex,3. I thought the system was easy to use,4. I think that I would need the support of a technical person to be able to use this system,5. I found the various functions in this system were well integrated,6. I thought there was too much inconsistency in this system,7. I would imagine that most people would learn to use this system quickly,8. I found the system very cumbersome to use,9. I felt very confident using the system,10. I needed to learn a lot of things before I could get going with this system
21.4.2022 13:51:54,5,1,4,1,5,2,5,1,4,1
22.4.2022 22:27:00,3,2,5,2,5,1,4,1,4,1
25.4.2022 8:01:12,3,1,4,2,4,2,4,2,4,1
25.4.2022 8:24:11,3,2,3,2,2,2,3,2,3,5
25.4.2022 11:30:20,2,4,2,4,4,3,1,4,2,5
25.4.2022 15:40:19,3,2,4,3,4,3,4,2,3,2
2.5.2022 16:09:37,3,2,3,4,3,3,4,1,2,2
5.5.2022 22:48:38,3,1,4,2,1,3,4,1,4,1
9.5.2022 14:27:01,1,2,3,4,5,4,4,2,1,4
10.5.2022 14:10:27,2,4,2,3,4,4,2,5,5,4
11.5.2022 18:06:45,4,1,4,1,5,1,4,1,4,2
12.5.2022 12:03:05,3,2,3,3,4,1,1,2,2,5
12.5.2022 12:25:34,4,3,4,1,5,2,4,2,5,1
25.5.2022 22:10:18,5,1,5,1,5,1,4,1,5,1
27.5.2022 13:41:55,5,2,4,1,5,2,5,2,4,3
3.6.2022 18:13:15,4,1,5,2,5,3,4,1,5,3
